category,description,link,datatype
CRICKET,The user is playing cricket.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
CROSSFIT,The user is performing Crossfit exercises.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
CURLING,The user is practicing curling.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
DANCING,The user is dancing.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
DIVING,"The user is diving into water, from a platform or spring board.",https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
ELEVATOR,The user is taking an elevator.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
ELLIPTICAL,The user is using an elliptical trainer or cross-trainer machine.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
ERGOMETER,The user is using an ergometer machine.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
ESCALATOR,The user is taking an escalator.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
EXTRA_STATUS,Name for the String extra containing the status of an activity.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
FENCING,The user is fencing.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
FOOTBALL_AMERICAN,The user is playing American football (known as football in the United States).,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
FOOTBALL_AUSTRALIAN,The user is playing Australian-rules football.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
FOOTBALL_SOCCER,The user is playing association football (known as soccer in the United States).,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
FRISBEE_DISC,The user is playing with a Frisbee disc.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
GARDENING,The user is gardening.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
GOLF,The user is playing golf.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
GUIDED_BREATHING,The user is engaging in guided breathing.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
GYMNASTICS,The user is practicing gymnastics.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
HANDBALL,The user is playing handball.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
HIGH_INTENSITY_INTERVAL_TRAINING,The user is performing high intensity interval training (HIIT).,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
HIKING,The user is hiking.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
HOCKEY,The user is playing hockey.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
HORSEBACK_RIDING,The user is horseback riding.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
HOUSEWORK,The user is doing house work.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
ICE_SKATING,The user is ice-skating.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
INTERVAL_TRAINING,The user is performing interval training.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
IN_VEHICLE,"The user is in a vehicle, such as a car.",https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
JUMP_ROPE,The user is jumping rope.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
KAYAKING,The user is kayaking.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
